v4_gene_model	category	v4_locus	W22.Zm00004b.1.
Zm00001d001933	expressed.endo	c3h16	Zm00004b006005
Zm00001d001934	not.endo		Zm00004b006007
Zm00001d001935	expressed.endo		Zm00004b006008
Zm00001d001936	not.endo	glk16	Zm00004b006009
Zm00001d001939	expressed.endo		Zm00004b006013
Zm00001d001940	expressed.endo		Zm00004b006014
Zm00001d001943	not.endo	incw7	Zm00004b006016
Zm00001d001947	expressed.endo		Zm00004b006020
Zm00001d001949	expressed.endo		Zm00004b006022
Zm00001d001952	expressed.endo		Zm00004b006023
Zm00001d001953	expressed.endo		Zm00004b006024
Zm00001d001959	expressed.endo		Zm00004b006025
Zm00001d001962	expressed.endo		Zm00004b006029
Zm00001d001964	not.endo		Zm00004b006031
Zm00001d001966	expressed.endo	pco082032	Zm00004b006032
Zm00001d001967	expressed.endo		Zm00004b006033
Zm00001d001968	expressed.endo		Zm00004b006034
Zm00001d001972	expressed.endo		Zm00004b006036
Zm00001d001974	expressed.endo		Zm00004b006037
Zm00001d001976	not.endo		Zm00004b006039
Zm00001d001977	not.endo		Zm00004b006040
Zm00001d001978	expressed.endo		Zm00004b006042
Zm00001d001979	expressed.endo		Zm00004b006043
Zm00001d001980	expressed.endo		Zm00004b006044
Zm00001d001983	expressed.endo		Zm00004b006046
Zm00001d001984	expressed.endo		Zm00004b006048
Zm00001d001987	expressed.endo		Zm00004b006049
Zm00001d001988	expressed.endo	prh16	Zm00004b006050
Zm00001d001989	expressed.endo		Zm00004b006051
Zm00001d001994	expressed.endo		Zm00004b006054
Zm00001d001995	expressed.endo		Zm00004b006055
Zm00001d001997	expressed.endo		Zm00004b006057
Zm00001d001999	expressed.endo		Zm00004b006058
Zm00001d002001	not.endo		Zm00004b006061
Zm00001d002003	expressed.endo		Zm00004b006062
Zm00001d002005	not.endo	lg1	Zm00004b006064
Zm00001d002006	expressed.endo	mha2	Zm00004b006066
Zm00001d002007	not.endo		Zm00004b006068
Zm00001d002020	not.endo	GRMZM2G059740	Zm00004b006077
Zm00001d002021	not.endo		Zm00004b006080
Zm00001d002022	expressed.endo	cax2	Zm00004b006081
Zm00001d002024	expressed.endo		Zm00004b006083
Zm00001d002027	expressed.endo	pco066126	Zm00004b006086
Zm00001d002028	expressed.endo		Zm00004b006087
Zm00001d002029	expressed.endo	zim32	Zm00004b006088
Zm00001d002034	expressed.endo		Zm00004b006090
Zm00001d002036	expressed.endo		Zm00004b006092
Zm00001d002037	not.endo		Zm00004b006093
Zm00001d002042	not.endo		Zm00004b006098
Zm00001d002046	expressed.endo		Zm00004b006099
Zm00001d002051	expressed.endo		Zm00004b006100
Zm00001d002053	expressed.endo		Zm00004b006102
Zm00001d002055	not.endo		Zm00004b006105
Zm00001d002056	expressed.endo		Zm00004b006107
Zm00001d002058	expressed.endo		Zm00004b006108
Zm00001d002064	expressed.endo		Zm00004b006111
Zm00001d002065	expressed.endo	mir3	Zm00004b006112
Zm00001d002068	expressed.endo		Zm00004b006114
Zm00001d002071	not.endo		Zm00004b006116
Zm00001d002075	expressed.endo	ereb197	Zm00004b006120
Zm00001d002079	not.endo	ereb47	Zm00004b006123
Zm00001d002080	expressed.endo		Zm00004b006124
Zm00001d002082	expressed.endo		Zm00004b006126
Zm00001d002083	not.endo		Zm00004b006127
Zm00001d002084	expressed.endo		Zm00004b006129
Zm00001d002086	expressed.endo		Zm00004b006131
Zm00001d002087	expressed.endo		Zm00004b006132
Zm00001d002088	not.endo	vq13	Zm00004b006133
Zm00001d002089	expressed.endo		Zm00004b006134
Zm00001d002090	expressed.endo		Zm00004b006135
Zm00001d002091	expressed.endo		Zm00004b006136
Zm00001d002093	not.endo		Zm00004b006138
Zm00001d002095	expressed.endo	AY109603	Zm00004b006140
Zm00001d002096	not.endo		Zm00004b006142
Zm00001d002097	not.endo		Zm00004b006144
Zm00001d002099	expressed.endo		Zm00004b006147
Zm00001d002103	expressed.endo		Zm00004b006149
Zm00001d002104	expressed.endo	ami4	Zm00004b006150
Zm00001d002105	expressed.endo		Zm00004b006151
Zm00001d002115	expressed.endo		Zm00004b006152
Zm00001d002119	expressed.endo		Zm00004b006153
Zm00001d002121	not.endo	ili1	Zm00004b006154
Zm00001d002122	expressed.endo	TIDP3539	Zm00004b006155
Zm00001d002123	not.endo		Zm00004b006156
Zm00001d002124	not.endo	pme9	Zm00004b006159
Zm00001d002125	expressed.endo	nrpd2/e2	Zm00004b006160
Zm00001d002126	expressed.endo		Zm00004b006161
Zm00001d002140	expressed.endo		Zm00004b006176
Zm00001d002141	expressed.endo		Zm00004b006177
Zm00001d002144	not.endo	epf2	Zm00004b006180
Zm00001d002145	expressed.endo		Zm00004b006181
Zm00001d002146	not.endo		Zm00004b006182
Zm00001d002147	expressed.endo		Zm00004b006183
Zm00001d002157	expressed.endo		Zm00004b006193
Zm00001d002167	not.endo		Zm00004b006202
Zm00001d002169	expressed.endo		Zm00004b006204
Zm00001d002175	expressed.endo		Zm00004b006210
Zm00001d002176	not.endo		Zm00004b006211
Zm00001d002184	expressed.endo	pza03747	Zm00004b006218
Zm00001d002185	expressed.endo	sdg140	Zm00004b006219
Zm00001d002186	expressed.endo	dv1	Zm00004b006220
Zm00001d002190	expressed.endo	sda1	Zm00004b006221
Zm00001d002198	expressed.endo		Zm00004b006224
Zm00001d002200	not.endo	umc1961	Zm00004b006225
Zm00001d002235	expressed.endo		Zm00004b006248
Zm00001d002240	expressed.endo		Zm00004b006251
Zm00001d002241	expressed.endo		Zm00004b006252
Zm00001d002243	expressed.endo		Zm00004b006254
Zm00001d002244	expressed.endo		Zm00004b006255
Zm00001d002246	expressed.endo	pks1	Zm00004b006257
Zm00001d002250	expressed.endo		Zm00004b006260
Zm00001d002253	expressed.endo		Zm00004b006262
Zm00001d002256	expressed.endo		Zm00004b006267
Zm00001d002257	expressed.endo	atg8c	Zm00004b006268
Zm00001d002258	expressed.endo	IDP232	Zm00004b006269
Zm00001d002259	expressed.endo		Zm00004b006270
Zm00001d002261	expressed.endo		Zm00004b006271
Zm00001d002262	not.endo		Zm00004b006272
Zm00001d002266	expressed.endo		Zm00004b006275
Zm00001d002267	expressed.endo		Zm00004b006276
Zm00001d002269	not.endo		Zm00004b006277
Zm00001d002271	not.endo		Zm00004b006279
Zm00001d002272	expressed.endo		Zm00004b006280
Zm00001d002275	expressed.endo	mrpa5	Zm00004b006282
Zm00001d002277	expressed.endo		Zm00004b006284
Zm00001d002282	expressed.endo		Zm00004b006288
Zm00001d002284	expressed.endo		Zm00004b006290
Zm00001d002285	not.endo	nactf22	Zm00004b006291
Zm00001d002286	not.endo		Zm00004b006292
Zm00001d002292	expressed.endo		Zm00004b006296
Zm00001d002295	not.endo		Zm00004b006297
Zm00001d002296	expressed.endo	TIDP3748	Zm00004b006299
Zm00001d002302	expressed.endo		Zm00004b006303
Zm00001d002304	not.endo		Zm00004b006305
Zm00001d002313	expressed.endo		Zm00004b006309
Zm00001d002314	expressed.endo	cl44168_1	Zm00004b006310
Zm00001d002315	expressed.endo	IDP2388	Zm00004b006311
Zm00001d002316	expressed.endo	ago2a	Zm00004b006312
Zm00001d002317	expressed.endo	apo1	Zm00004b006315
Zm00001d002323	expressed.endo	IDP54	Zm00004b006319
Zm00001d002324	not.endo		Zm00004b006320
Zm00001d002326	expressed.endo	aaa1	Zm00004b006322
Zm00001d002330	expressed.endo	met5	Zm00004b006323
Zm00001d002332	expressed.endo	mads9	Zm00004b006324
Zm00001d002334	expressed.endo		Zm00004b006325
Zm00001d002338	expressed.endo		Zm00004b006327
Zm00001d002339	expressed.endo	uaz251b(rpS11)	Zm00004b006328
Zm00001d002340	expressed.endo		Zm00004b006329
Zm00001d002342	expressed.endo		Zm00004b006332
Zm00001d002343	not.endo	zip3	Zm00004b006333
Zm00001d002345	expressed.endo	pprsmr1	Zm00004b006335
Zm00001d002348	not.endo		Zm00004b006338
Zm00001d002351	not.endo	tps1	Zm00004b006342
Zm00001d002352	expressed.endo		Zm00004b006344
Zm00001d002356	expressed.endo		Zm00004b006346
Zm00001d002357	expressed.endo		Zm00004b006347
Zm00001d002358	expressed.endo	nec4	Zm00004b006348
Zm00001d002359	expressed.endo		Zm00004b006349
Zm00001d002362	expressed.endo		Zm00004b006351
Zm00001d002365	not.endo		Zm00004b006354
Zm00001d002366	expressed.endo		Zm00004b006355
Zm00001d002369	expressed.endo		Zm00004b006357
Zm00001d002371	expressed.endo		Zm00004b006359
Zm00001d002372	expressed.endo		Zm00004b006360
Zm00001d002373	expressed.endo		Zm00004b006361
Zm00001d002382	expressed.endo		Zm00004b006370
Zm00001d002384	expressed.endo		Zm00004b006371
Zm00001d002386	expressed.endo	TIDP3276	Zm00004b006373
Zm00001d002387	expressed.endo		Zm00004b006374
Zm00001d002388	expressed.endo		Zm00004b006375
Zm00001d002391	expressed.endo		Zm00004b006377
Zm00001d002393	not.endo		Zm00004b006379
Zm00001d002395	expressed.endo		Zm00004b006381
Zm00001d002396	expressed.endo	GRMZM2G140328	Zm00004b006382
Zm00001d002402	not.endo		Zm00004b006384
Zm00001d002406	not.endo		Zm00004b006388
Zm00001d002409	not.endo		Zm00004b006390
Zm00001d002413	not.endo		Zm00004b006394
Zm00001d002416	expressed.endo		Zm00004b006397
Zm00001d002418	expressed.endo	TIDP3424	Zm00004b006398
Zm00001d002419	expressed.endo		Zm00004b006399
Zm00001d002420	expressed.endo		Zm00004b006400
Zm00001d002421	expressed.endo		Zm00004b006401
Zm00001d002423	expressed.endo	mex1	Zm00004b006403
Zm00001d002424	expressed.endo	thx23	Zm00004b006404
Zm00001d002426	expressed.endo		Zm00004b006408
Zm00001d002428	expressed.endo		Zm00004b006409
Zm00001d002429	expressed.endo	grftf8	Zm00004b006412
Zm00001d002433	expressed.endo		Zm00004b006414
Zm00001d002440	expressed.endo		Zm00004b006419
Zm00001d002444	expressed.endo		Zm00004b006421
Zm00001d002446	not.endo		Zm00004b006422
Zm00001d002447	not.endo		Zm00004b006424
Zm00001d002450	expressed.endo		Zm00004b006426
Zm00001d002451	expressed.endo		Zm00004b006427
Zm00001d002452	not.endo	wrky70	Zm00004b006430
Zm00001d002455	expressed.endo		Zm00004b006432
Zm00001d002456	expressed.endo		Zm00004b006433
Zm00001d002457	not.endo	IDP1971	Zm00004b006434
Zm00001d002458	not.endo		Zm00004b006436
Zm00001d002462	expressed.endo		Zm00004b006438
Zm00001d002473	not.endo		Zm00004b006446
Zm00001d002475	expressed.endo		Zm00004b006447
Zm00001d002476	not.endo	myb13	Zm00004b006448
Zm00001d002477	not.endo		Zm00004b006449
Zm00001d002478	expressed.endo		Zm00004b006450
Zm00001d002479	not.endo		Zm00004b006451
Zm00001d002483	expressed.endo		Zm00004b006453
Zm00001d002488	not.endo		Zm00004b006461
Zm00001d002491	not.endo		Zm00004b006465
Zm00001d002495	not.endo		Zm00004b006468
Zm00001d002496	not.endo		Zm00004b006469
Zm00001d002498	not.endo		Zm00004b006470
Zm00001d002499	expressed.endo	csu425(gct)	Zm00004b006471
Zm00001d002501	expressed.endo	gpm7	Zm00004b006476
Zm00001d002503	expressed.endo		Zm00004b006477
Zm00001d002504	expressed.endo		Zm00004b006478
Zm00001d002510	expressed.endo		Zm00004b006482
Zm00001d002511	expressed.endo		Zm00004b006483
Zm00001d002515	not.endo		Zm00004b006488
Zm00001d002517	not.endo	invinh1	Zm00004b006489
Zm00001d002519	not.endo		Zm00004b006490
Zm00001d002523	expressed.endo		Zm00004b006494
Zm00001d002524	not.endo		Zm00004b006496
Zm00001d002530	expressed.endo		Zm00004b006498
Zm00001d002535	expressed.endo		Zm00004b006503
Zm00001d002536	not.endo		Zm00004b006504
Zm00001d002537	expressed.endo		Zm00004b006505
Zm00001d002538	expressed.endo		Zm00004b006506
Zm00001d002539	expressed.endo		Zm00004b006507
Zm00001d002540	expressed.endo	cdpk5	Zm00004b006508
Zm00001d002541	not.endo		Zm00004b006509
Zm00001d002542	expressed.endo		Zm00004b006510
Zm00001d002543	expressed.endo		Zm00004b006511
Zm00001d002544	expressed.endo		Zm00004b006512
Zm00001d002545	expressed.endo	mybr20	Zm00004b006514
Zm00001d002553	expressed.endo	AY106040	Zm00004b006520
Zm00001d002558	not.endo		Zm00004b006524
Zm00001d002564	not.endo	GRMZM2G050234	Zm00004b006528
Zm00001d002565	not.endo		Zm00004b006530
Zm00001d002569	not.endo		Zm00004b006532
Zm00001d002570	not.endo	uce18	Zm00004b006533
Zm00001d002579	expressed.endo		Zm00004b006539
Zm00001d002580	expressed.endo	pza02337	Zm00004b006540
Zm00001d002590	not.endo		Zm00004b006548
Zm00001d002595	expressed.endo		Zm00004b006555
Zm00001d002596	not.endo		Zm00004b006556
Zm00001d002597	expressed.endo		Zm00004b006557
Zm00001d002598	expressed.endo		Zm00004b006558
Zm00001d002599	expressed.endo	IDP1954	Zm00004b006559
Zm00001d002601	expressed.endo	hon101	Zm00004b006560
Zm00001d002602	expressed.endo		Zm00004b006561
Zm00001d002607	expressed.endo		Zm00004b006565
Zm00001d002611	expressed.endo	IDP712	Zm00004b006568
Zm00001d002613	not.endo		Zm00004b006570
Zm00001d002615	expressed.endo		Zm00004b006572
Zm00001d002616	not.endo		Zm00004b006573
Zm00001d002617	expressed.endo		Zm00004b006574
Zm00001d002620	not.endo	ereb68	Zm00004b006576
Zm00001d002623	not.endo		Zm00004b006578
Zm00001d002624	expressed.endo		Zm00004b006581
Zm00001d002625	expressed.endo		Zm00004b006582
Zm00001d002629	not.endo		Zm00004b006584
Zm00001d002630	expressed.endo		Zm00004b006585
Zm00001d002631	expressed.endo		Zm00004b006587
Zm00001d002639	expressed.endo		Zm00004b006595
Zm00001d002640	expressed.endo		Zm00004b006596
Zm00001d002641	expressed.endo		Zm00004b006597
Zm00001d002642	expressed.endo		Zm00004b006599
Zm00001d002644	expressed.endo		Zm00004b006600
Zm00001d002650	expressed.endo	ago1c	Zm00004b006602
Zm00001d002654	expressed.endo	nkd1	Zm00004b006605
Zm00001d002656	expressed.endo		Zm00004b006606
Zm00001d002658	expressed.endo		Zm00004b006607
Zm00001d002659	expressed.endo	nfd102	Zm00004b006608
Zm00001d002661	expressed.endo	shai1	Zm00004b006610
Zm00001d002662	expressed.endo	cyc8	Zm00004b006613
Zm00001d002663	expressed.endo	laz9	Zm00004b006614
Zm00001d002668	expressed.endo		Zm00004b006617
Zm00001d002671	not.endo		Zm00004b006619
Zm00001d002675	not.endo		Zm00004b006621
Zm00001d002676	expressed.endo		Zm00004b006622
Zm00001d002677	expressed.endo		Zm00004b006623
Zm00001d002678	expressed.endo		Zm00004b006625
Zm00001d002684	expressed.endo		Zm00004b006630
Zm00001d002685	expressed.endo		Zm00004b006631
Zm00001d002688	expressed.endo		Zm00004b006635
Zm00001d002693	expressed.endo		Zm00004b006637
Zm00001d002694	expressed.endo		Zm00004b006638
Zm00001d002698	not.endo		Zm00004b006642
Zm00001d002700	not.endo		Zm00004b006645
Zm00001d002703	expressed.endo		Zm00004b006650
Zm00001d002704	expressed.endo		Zm00004b006651
Zm00001d002708	expressed.endo	hma10	Zm00004b006654
Zm00001d002711	expressed.endo		Zm00004b006655
Zm00001d002712	not.endo		Zm00004b006656
Zm00001d002713	expressed.endo		Zm00004b006657
Zm00001d002714	not.endo		Zm00004b006658
Zm00001d002715	expressed.endo		Zm00004b006659
Zm00001d002716	expressed.endo		Zm00004b006660
Zm00001d002718	expressed.endo	gras31	Zm00004b006662
Zm00001d002725	expressed.endo		Zm00004b006668
Zm00001d002726	expressed.endo	pme36	Zm00004b006670
Zm00001d002730	expressed.endo		Zm00004b006673
Zm00001d002732	not.endo		Zm00004b006675
Zm00001d002734	expressed.endo	nagk1	Zm00004b006677
Zm00001d002736	not.endo	ccd7	Zm00004b006678
Zm00001d002737	expressed.endo		Zm00004b006679
Zm00001d002738	not.endo		Zm00004b006680
Zm00001d002739	expressed.endo		Zm00004b006681
Zm00001d002742	expressed.endo	pza00497	Zm00004b006683
Zm00001d002743	not.endo		Zm00004b006684
Zm00001d002747	not.endo	ereb185	Zm00004b006689
Zm00001d002751	expressed.endo		Zm00004b006694
Zm00001d002754	not.endo	hb53	Zm00004b006696
Zm00001d002755	not.endo		Zm00004b006697
Zm00001d002756	not.endo		Zm00004b006698
Zm00001d002757	not.endo		Zm00004b006699
Zm00001d002758	expressed.endo		Zm00004b006700
Zm00001d002768	expressed.endo	ole1	Zm00004b006708
Zm00001d002770	expressed.endo		Zm00004b006711
Zm00001d002772	not.endo		Zm00004b006713
Zm00001d002773	not.endo		Zm00004b006714
Zm00001d002775	expressed.endo		Zm00004b006716
Zm00001d002776	not.endo		Zm00004b006717
Zm00001d002778	expressed.endo	ckb1	Zm00004b006719
Zm00001d002781	expressed.endo	rws1	Zm00004b006722
Zm00001d002783	not.endo		Zm00004b006724
Zm00001d002787	expressed.endo	sdg104	Zm00004b006727
Zm00001d002789	expressed.endo		Zm00004b006728
Zm00001d002790	expressed.endo	gata5	Zm00004b006729
Zm00001d002791	expressed.endo		Zm00004b006730
Zm00001d002794	not.endo	wrky101	Zm00004b006731
Zm00001d002801	expressed.endo	thx12	Zm00004b006736
Zm00001d002803	not.endo		Zm00004b006739
Zm00001d002810	expressed.endo		Zm00004b006741
Zm00001d002811	expressed.endo	gata11	Zm00004b006742
Zm00001d002812	expressed.endo	rmr2	Zm00004b006743
Zm00001d002814	expressed.endo		Zm00004b006744
Zm00001d002816	not.endo		Zm00004b006746
Zm00001d002817	expressed.endo		Zm00004b006748
Zm00001d002819	expressed.endo	atg13c	Zm00004b006749
Zm00001d002821	not.endo		Zm00004b006752
Zm00001d002822	expressed.endo		Zm00004b006753
Zm00001d002823	expressed.endo		Zm00004b006754
Zm00001d002824	expressed.endo		Zm00004b006755
Zm00001d002825	not.endo		Zm00004b006756
Zm00001d002826	not.endo		Zm00004b006758
Zm00001d002827	expressed.endo		Zm00004b006759
Zm00001d002828	not.endo	nactf131	Zm00004b006760
Zm00001d002829	not.endo	yab1	Zm00004b006761
Zm00001d002830	not.endo	ivr1	Zm00004b006763
Zm00001d002833	not.endo		Zm00004b006765
Zm00001d002835	expressed.endo		Zm00004b006767
Zm00001d002836	expressed.endo		Zm00004b006768
Zm00001d002842	expressed.endo	remo3	Zm00004b006773
Zm00001d002843	not.endo	myb54	Zm00004b006774
Zm00001d002844	not.endo	limtf6	Zm00004b006776
Zm00001d002847	not.endo		Zm00004b006777
Zm00001d002849	not.endo		Zm00004b006778
Zm00001d002853	expressed.endo		Zm00004b006782
Zm00001d002854	expressed.endo		Zm00004b006783
Zm00001d002856	expressed.endo		Zm00004b006786
Zm00001d002857	expressed.endo		Zm00004b006787
Zm00001d002859	expressed.endo		Zm00004b006789
Zm00001d002864	expressed.endo		Zm00004b006792
Zm00001d002865	expressed.endo		Zm00004b006793
Zm00001d002867	not.endo	ereb154	Zm00004b006795
Zm00001d002868	expressed.endo		Zm00004b006796
Zm00001d002872	not.endo		Zm00004b006800
Zm00001d002873	expressed.endo		Zm00004b006801
Zm00001d002874	expressed.endo		Zm00004b006802
Zm00001d002876	expressed.endo		Zm00004b006803
Zm00001d002878	expressed.endo		Zm00004b006804
Zm00001d002889	expressed.endo		Zm00004b006813
Zm00001d002891	expressed.endo		Zm00004b006815
Zm00001d002896	expressed.endo	tubtf4	Zm00004b006817
Zm00001d002902	not.endo		Zm00004b006822
Zm00001d002904	not.endo		Zm00004b006823
Zm00001d002905	expressed.endo		Zm00004b006824
Zm00001d002919	expressed.endo		Zm00004b006837
Zm00001d002925	expressed.endo		Zm00004b006841
Zm00001d002928	not.endo		Zm00004b006846
Zm00001d002933	expressed.endo		Zm00004b006851
Zm00001d002934	not.endo	nactf103	Zm00004b006852
Zm00001d002936	expressed.endo		Zm00004b006853
Zm00001d002938	expressed.endo	sdg107	Zm00004b006855
Zm00001d002943	expressed.endo		Zm00004b006862
Zm00001d002944	expressed.endo		Zm00004b006865
Zm00001d002945	expressed.endo	ras18A1	Zm00004b006866
Zm00001d002946	expressed.endo		Zm00004b006867
Zm00001d002950	expressed.endo	GRMZM2G138125	Zm00004b006869
Zm00001d002953	expressed.endo		Zm00004b006871
Zm00001d002959	not.endo		Zm00004b006876
Zm00001d002965	not.endo		Zm00004b006881
Zm00001d002966	not.endo		Zm00004b006884
Zm00001d002969	expressed.endo		Zm00004b006887
Zm00001d002970	not.endo	sk1	Zm00004b006888
Zm00001d002971	not.endo	GRMZM2G021694	Zm00004b006889
Zm00001d002980	expressed.endo		Zm00004b006896
Zm00001d002982	not.endo	abph1	Zm00004b006898
Zm00001d002984	not.endo		Zm00004b006899
Zm00001d002989	expressed.endo	ckx12	Zm00004b006903
Zm00001d002992	expressed.endo		Zm00004b006906
Zm00001d002993	not.endo		Zm00004b006908
Zm00001d002999	not.endo	ga2ox2	Zm00004b006913
Zm00001d003002	expressed.endo		Zm00004b006916
Zm00001d003005	expressed.endo		Zm00004b006919
Zm00001d003006	expressed.endo	pip2a	Zm00004b006920
Zm00001d003007	expressed.endo		Zm00004b006921
Zm00001d003012	not.endo		Zm00004b006923
Zm00001d003013	not.endo		Zm00004b006924
Zm00001d003014	expressed.endo	IDP147	Zm00004b006926
Zm00001d003017	expressed.endo		Zm00004b006929
Zm00001d003022	not.endo		Zm00004b006933
Zm00001d003025	not.endo	amt3	Zm00004b006938
Zm00001d003031	expressed.endo	AY104214	Zm00004b006940
Zm00001d003033	expressed.endo		Zm00004b006941
Zm00001d003034	expressed.endo		Zm00004b006942
Zm00001d003037	not.endo	npi607	Zm00004b006944
Zm00001d003040	expressed.endo		Zm00004b006946
Zm00001d003047	expressed.endo		Zm00004b006956
Zm00001d003049	expressed.endo		Zm00004b006958
Zm00001d003050	expressed.endo		Zm00004b006959
Zm00001d003051	not.endo		Zm00004b006960
Zm00001d003057	not.endo		Zm00004b006963
Zm00001d003058	expressed.endo		Zm00004b006964
Zm00001d003060	not.endo		Zm00004b006966
Zm00001d003062	expressed.endo	umc2247	Zm00004b006967
Zm00001d003066	expressed.endo		Zm00004b006969
Zm00001d003068	expressed.endo	ppck4	Zm00004b006971
Zm00001d003071	expressed.endo		Zm00004b006973
Zm00001d003072	expressed.endo		Zm00004b006974
Zm00001d003076	expressed.endo		Zm00004b006975
Zm00001d003079	not.endo		Zm00004b006976
Zm00001d003081	expressed.endo	grx1	Zm00004b006978
Zm00001d003083	expressed.endo		Zm00004b006981
Zm00001d003084	expressed.endo		Zm00004b006982
Zm00001d003086	expressed.endo		Zm00004b006984
Zm00001d003091	not.endo		Zm00004b006990
Zm00001d003099	expressed.endo		Zm00004b006992
Zm00001d003101	expressed.endo	GRMZM2G082191	Zm00004b006994
Zm00001d003103	expressed.endo		Zm00004b006996
Zm00001d003108	expressed.endo	aprt1	Zm00004b007001
Zm00001d003109	expressed.endo		Zm00004b007002
Zm00001d003110	expressed.endo		Zm00004b007003
Zm00001d003112	expressed.endo		Zm00004b007004
Zm00001d003114	expressed.endo		Zm00004b007005
Zm00001d003119	expressed.endo		Zm00004b007011
Zm00001d003121	not.endo		Zm00004b007012
Zm00001d003123	expressed.endo		Zm00004b007013
Zm00001d003124	expressed.endo		Zm00004b007014
Zm00001d003125	expressed.endo	mgt3	Zm00004b007015
Zm00001d003127	expressed.endo		Zm00004b007016
Zm00001d003129	expressed.endo	hct5	Zm00004b007018
Zm00001d003139	not.endo	umc2248	Zm00004b007021
Zm00001d003142	not.endo		Zm00004b007022
Zm00001d003147	expressed.endo		Zm00004b007031
Zm00001d003157	expressed.endo	sam2	Zm00004b007036
Zm00001d003159	expressed.endo		Zm00004b007037
Zm00001d003160	not.endo		Zm00004b007038
Zm00001d003161	expressed.endo		Zm00004b007039
Zm00001d003162	not.endo	col11	Zm00004b007041
Zm00001d003164	expressed.endo	TIDP3470	Zm00004b007043
Zm00001d003166	expressed.endo		Zm00004b007045
Zm00001d003176	expressed.endo	nlp3	Zm00004b007053
Zm00001d003179	expressed.endo		Zm00004b007055
